Номер варианта;ID;INCOME_BASE_TYPE;CREDIT_PURPOSE;INSURANCE_FLAG;DTI;SEX;FULL_AGE_CHILD_NUMBER;DEPENDANT_NUMBER;EDUCATION;EMPL_TYPE;EMPL_SIZE;BANKACCOUNT_FLAG;Period_at_work;age;EMPL_PROPERTY;EMPL_FORM;FAMILY_STATUS;max90days;max60days;max30days;max21days;max14days;avg_num_delay;if_zalog;num_AccountActive180;num_AccountActive90;num_AccountActive60;Active_to_All_prc;numAccountActiveAll;numAccountClosed;sum_of_paym_months;all_credits;Active_not_cc;own_closed;min_MnthAfterLoan;max_MnthAfterLoan;dlq_exist;thirty_in_a_year;sixty_in_a_year;ninety_in_a_year;thirty_vintage;sixty_vintage;ninety_vintage
4;1000004;Поступление зарплаты на счет;Ремонт;1;0.25;женский;0;0;3;рабочий;>250;0;70;50;Другое;ООО;холост / не замужем;1;1;1;1;1;0.0111111111;0;1;0;0;0.4;4;6;178;10;2;0;3;78;1;0;0;0;0;0;0
4;1000024;Поступление зарплаты на счет;Ремонт;0;0.37;женский;0;0;4;менеджер среднего звена;>=50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;1000044;Поступление зарплаты на счет;Ремонт;0;0.47;женский;0;0;4;специалист;>250;0;10;25;Информационные технологии;ООО;холост / не замужем;1;1;0;0;0;0;0;1;1;1;1;2;0;4;2;1;0;1;12;0;0;0;0;0;0;0
4;1000064;2НДФЛ;Ремонт;0;;женский;1;0;4;специалист;;1;71;31;Финансы;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;1000084;2НДФЛ;Ремонт;1;0.28;мужской;2;0;2;рабочий;>250;0;174;50;Другое;Государственное предприятие;разведен / разведена;2;2;2;2;2;;;;;;;;;;;;;;;;;;;;;
4;1000104;Поступление зарплаты на счет;Покупка автомобиля;1;0.56;женский;0;0;1;специалист;>250;0;76;27;Торговля;ЗАО;холост / не замужем;3;2;1;1;1;0.1987179487;0;0;0;0;0.5;3;3;125;6;0;0;22;79;1;1;1;1;0;0;0
4;1000124;Форма банка (без печати работодателя);Ремонт;0;0.56;мужской;0;0;4;менеджер среднего звена;< 50;0;64;31;Другое;ООО;женат / замужем;5;1;1;1;1;0.0338983051;1;0;0;0;0.5833333333;7;5;399;12;3;0;9;69;1;0;0;0;0;0;0
4;1000144;2НДФЛ;Покупка автомобиля;1;;женский;0;0;5;другое;;0;29;26;Финансы;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;1000164;Поступление зарплаты на счет;Другое;1;0.53;мужской;1;0;2;менеджер среднего звена;>=50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;1000184;Поступление зарплаты на счет;Ремонт;1;0.26;мужской;0;0;1;менеджер среднего звена;>250;0;82;33;Другое;ЗАО;холост / не замужем;1;1;0;0;0;0;1;0;0;0;0.2857142857;2;5;103;7;1;3;21;67;0;0;0;0;0;0;0
4;1000204;2НДФЛ;Ремонт;0;;мужской;0;0;4;другое;;1;85;29;Финансы;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;1000224;Поступление зарплаты на счет;Лечение;1;0.49;женский;0;0;4;вспомогательный персонал;>=50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;1000244;2НДФЛ;Ремонт;0;0.5;женский;1;0;5;менеджер среднего звена;>=150;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;1000264;Форма банка (без печати работодателя);Покупка автомобиля;1;0.36;мужской;1;0;4;менеджер среднего звена;>=50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;1000284;2НДФЛ;Отпуск;0;0.25;мужской;0;0;4;специалист;>=50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;1000304;2НДФЛ;Покупка недвижимости/ строительство;1;0.26;женский;0;0;4;специалист;>250;0;12;46;Другое;Государственное предприятие;холост / не замужем;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;
4;1000324;Форма банка (без печати работодателя);Покупка бытовой техники;1;0.48;мужской;0;0;4;менеджер высшего звена;< 50;0;73;47;Другое;ООО;женат / замужем;2;1;1;1;1;0;1;0;0;0;0.8;4;1;107;5;2;0;11;65;0;0;0;0;0;0;0
4;1000344;Форма банка (без печати работодателя);Ремонт;1;0.25;мужской;0;0;2;рабочий;>250;0;245;46;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;1000364;Поступление зарплаты на счет;Ремонт;0;0.32;женский;0;0;4;менеджер высшего звена;>250;0;38;28;Торговля;Иная форма;холост / не замужем;;;;;;;;;;;;;;;;;;;;;;;;;;
